"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
1545;"Sosos";"Male";"Greek";"Parent name";12230;12147;"63";"Perinthos-Herakleia";80063;"";"Rhamnousios";"City";"Greek"
12228;"[?]ona[?]";"Ambiguous";"Uncertain";"Personal name";12230;12147;"63";"Perinthos-Herakleia";80063;"";"Rhamnousios";"City";"Greek"
12232;"Nomenaios";"Male";"Greek";"Parent name";12233;12147;"63";"Perinthos-Herakleia";80063;"";"Kres / Kretes";"Region";"Greek"
969;"Kleanor";"Male";"Greek";"Personal name";12233;12147;"63";"Perinthos-Herakleia";80063;"";"Kres / Kretes";"Region";"Greek"
2211;"Flabios (Flaouios, Flavios)";"Male";"Roman";"Personal name";12377;12375;"91";"Perinthos-Herakleia";80091;"";"Perinthioi";"City";"Greek"
7762;"Sekoundos";"Male";"Roman";"Personal name";12377;12375;"91";"Perinthos-Herakleia";80091;"";"Perinthioi";"City";"Greek"
2179;"Titos";"Male";"Roman";"Personal name";12377;12375;"91";"Perinthos-Herakleia";80091;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12435;12390;"104";"Perinthos-Herakleia";80104;"";"Perinthioi";"City";"Greek"
2176;"Markos";"Male";"Roman";"Personal name";12435;12390;"104";"Perinthos-Herakleia";80104;"";"Perinthioi";"City";"Greek"
56;"Alexandros";"Male";"Greek";"Personal name";12435;12390;"104";"Perinthos-Herakleia";80104;"";"Perinthioi";"City";"Greek"
643;"Eutyches";"Male";"Greek";"Parent name";12435;12390;"104";"Perinthos-Herakleia";80104;"";"Perinthioi";"City";"Greek"
10356;"Petronia";"Female";"Roman";"Partner name";12492;12476;"127";"Perinthos-Herakleia";80127;"";"Perinthioi";"City";"Greek"
2176;"Markos";"Male";"Roman";"Personal name";12492;12476;"127";"Perinthos-Herakleia";80127;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12492;12476;"127";"Perinthos-Herakleia";80127;"";"Perinthioi";"City";"Greek"
2412;"Oulpios";"Male";"Roman";"Personal name";12492;12476;"127";"Perinthos-Herakleia";80127;"";"Perinthioi";"City";"Greek"
12491;"Atilianos";"Male";"Roman";"Personal name";12492;12476;"127";"Perinthos-Herakleia";80127;"";"Perinthioi";"City";"Greek"
8137;"Klaudia";"Female";"Roman";"Partner name";12502;12496;"130";"Perinthos-Herakleia";80130;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12502;12496;"130";"Perinthos-Herakleia";80130;"";"Perinthioi";"City";"Greek"
12501;"Eraseinos";"Male";"Roman";"Personal name";12502;12496;"130";"Perinthos-Herakleia";80130;"";"Perinthioi";"City";"Greek"
12501;"Eraseinos";"Male";"Roman";"Parent name";12502;12496;"130";"Perinthos-Herakleia";80130;"";"Perinthioi";"City";"Greek"
12506;"Synforos";"Male";"Greek";"Parent name";12507;12497;"131";"Perinthos-Herakleia";80131;"";"Perinthioi";"City";"Greek"
2188;"Aurelia";"Female";"Roman";"Partner name";12507;12497;"131";"Perinthos-Herakleia";80131;"";"Perinthioi";"City";"Greek"
643;"Eutyches";"Male";"Greek";"Personal name";12507;12497;"131";"Perinthos-Herakleia";80131;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12507;12497;"131";"Perinthos-Herakleia";80131;"";"Perinthioi";"City";"Greek"
755;"Hedys";"Female";"Greek";"Parent name";12556;12543;"144";"Perinthos-Herakleia";80144;"";"Neikomedoi";"City";"Greek"
755;"Hedys";"Female";"Greek";"Personal name";12556;12543;"144";"Perinthos-Herakleia";80144;"";"Neikomedoi";"City";"Greek"
2361;"Roufeinos";"Male";"Roman";"Personal name";12593;12568;"154";"Perinthos-Herakleia";80154;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12593;12568;"154";"Perinthos-Herakleia";80154;"";"Perinthioi";"City";"Greek"
7667;"Asklepiodotianos";"Male";"Greek";"Personal name";12593;12568;"154";"Perinthos-Herakleia";80154;"";"Perinthioi";"City";"Greek"
342;"Chrysogonos";"Male";"Greek";"Personal name";12596;12570;"156";"Perinthos-Herakleia";80156;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12596;12570;"156";"Perinthos-Herakleia";80156;"";"Perinthioi";"City";"Greek"
2287;"Dionysios";"Male";"Greek";"Partner name";12596;12570;"156";"Perinthos-Herakleia";80156;"";"Perinthioi";"City";"Greek"
2236;"Kornoutos";"Male";"Roman";"Parent name";12620;12619;"162";"Perinthos-Herakleia";80162;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12620;12619;"162";"Perinthos-Herakleia";80162;"";"Perinthioi";"City";"Greek"
2236;"Kornoutos";"Male";"Roman";"Personal name";12620;12619;"162";"Perinthos-Herakleia";80162;"";"Perinthioi";"City";"Greek"
7263;"Pauleina";"Female";"Roman";"Partner name";12620;12619;"162";"Perinthos-Herakleia";80162;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12694;12693;"163";"Perinthos-Herakleia";80163;"";"Perinthioi";"City";"Greek"
6506;"Oualeria";"Female";"Roman";"Partner name";12694;12693;"163";"Perinthos-Herakleia";80163;"";"Perinthioi";"City";"Greek"
2176;"Markos";"Male";"Roman";"Personal name";12694;12693;"163";"Perinthos-Herakleia";80163;"";"Perinthioi";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12705;12698;"164";"Perinthos-Herakleia";80164;"";"Perinthioi";"City";"Greek"
212;"Asklepiades";"Male";"Greek";"Parent name";12705;12698;"164";"Perinthos-Herakleia";80164;"";"Perinthioi";"City";"Greek"
3735;"Menianos";"Male";"Roman";"Personal name";12705;12698;"164";"Perinthos-Herakleia";80164;"";"Perinthioi";"City";"Greek"
1638;"Theodora";"Female";"Greek";"Partner name";12705;12698;"164";"Perinthos-Herakleia";80164;"";"Perinthioi";"City";"Greek"
12758;"Ploteinas";"Female";"Greek";"Personal name";12759;12730;"175";"Perinthos-Herakleia";80175;"";"Perinthioi";"City";"Greek"
12760;"Akakios";"Male";"Greek";"Personal name";12761;12731;"176";"Perinthos-Herakleia";80176;"";"Herakleiotes";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12761;12731;"176";"Perinthos-Herakleia";80176;"";"Herakleiotes";"City";"Greek"
12762;"Eufrosoinos";"Male";"Greek";"Parent name";12763;12732;"177";"Perinthos-Herakleia";80177;"";"Hypepenos";"City";"Uncertain"
14;"Afrodeisios";"Male";"Greek";"Personal name";12763;12732;"177";"Perinthos-Herakleia";80177;"";"Hypepenos";"City";"Uncertain"
465;"Dionysia";"Female";"Greek";"Partner name";12763;12732;"177";"Perinthos-Herakleia";80177;"";"Hypepenos";"City";"Uncertain"
2189;"Aurelios";"Male";"Roman";"Personal name";12763;12732;"177";"Perinthos-Herakleia";80177;"";"Hypepenos";"City";"Uncertain"
12766;"Domnos";"Male";"Roman";"Personal name";12767;12733;"178";"Perinthos-Herakleia";80178;"";"Herakleotes";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12767;12733;"178";"Perinthos-Herakleia";80178;"";"Herakleotes";"City";"Greek"
3935;"Asklepiodote";"Female";"Greek";"Partner name";12767;12733;"178";"Perinthos-Herakleia";80178;"";"Herakleotes";"City";"Greek"
1769;"Zotikos";"Male";"Greek";"Parent name";12767;12733;"178";"Perinthos-Herakleia";80178;"";"Herakleotes";"City";"Greek"
456;"Diogenes";"Male";"Greek";"Parent name";12773;12735;"180";"Perinthos-Herakleia";80180;"";"Herakleotes";"City";"Greek"
195;"Artemidora";"Female";"Greek";"Partner name";12773;12735;"180";"Perinthos-Herakleia";80180;"";"Herakleotes";"City";"Greek"
2452;"Markellos";"Male";"Roman";"Personal name";12773;12735;"180";"Perinthos-Herakleia";80180;"";"Herakleotes";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";12773;12735;"180";"Perinthos-Herakleia";80180;"";"Herakleotes";"City";"Greek"
887;"Kalandion";"Male";"Greek";"Personal name";12802;12741;"186";"Perinthos-Herakleia";80186;"";"Herakleiotes";"City";"Greek"
2211;"Flabios (Flaouios, Flavios)";"Male";"Roman";"Personal name";12802;12741;"186";"Perinthos-Herakleia";80186;"";"Herakleiotes";"City";"Greek"
12801;"Gemella";"Female";"Roman";"Partner name";12802;12741;"186";"Perinthos-Herakleia";80186;"";"Herakleiotes";"City";"Greek"
2211;"Flabios (Flaouios, Flavios)";"Male";"Roman";"Personal name";12805;12742;"187";"Perinthos-Herakleia";80187;"";"Herakleotes";"City";"Greek"
12804;"Roumanos (Romanus)";"Male";"Roman";"Personal name";12805;12742;"187";"Perinthos-Herakleia";80187;"";"Herakleotes";"City";"Greek"
1196;"Moukianos";"Male";"Thracian";"Personal name";12915;12909;"5856";"IG Bulg 5";75856;"";"Karros";"Region";"Greek"
2181;"Ailios";"Male";"Roman";"Personal name";12915;12909;"5856";"IG Bulg 5";75856;"";"Karros";"Region";"Greek"
456;"Diogenes";"Male";"Greek";"Personal name";13088;10801;"2236|5872";"IG Bulg 4";62236;"";"Tyrios";"City";"Greek"
13302;"Heranios";"Male";"Greek";"Personal name";13304;13301;"5346";"IG Bulg 5";75346;"";"Attikos";"Region";"Greek"
4399;"[?]s";"Ambiguous";"Uncertain";"Personal name";13304;13301;"5346";"IG Bulg 5";75346;"";"Attikos";"Region";"Greek"
2196;"Klaudios";"Male";"Roman";"Personal name";13470;13469;"5572";"IG Bulg 5";75572;"";"Syros";"Region";"Uncertain"
2178;"Tiberios";"Male";"Roman";"Personal name";13470;13469;"5572";"IG Bulg 5";75572;"";"Syros";"Region";"Uncertain"
2458;"Ioulios";"Male";"Roman";"Personal name";13929;13926;"10";"IK Sestos";90010;"";"Italos";"Region";""
2173;"Gaios";"Male";"Roman";"Personal name";13929;13926;"10";"IK Sestos";90010;"";"Italos";"Region";""
8137;"Klaudia";"Female";"Roman";"Partner name";13929;13926;"10";"IK Sestos";90010;"";"Italos";"Region";""
2179;"Titos";"Male";"Roman";"Personal name";13949;13947;"17";"IK Sestos";90017;"";"Laodikeos";"City";"Greek"
101;"Andronikos / Androneikos";"Male";"Greek";"Personal name";13949;13947;"17";"IK Sestos";90017;"";"Laodikeos";"City";"Greek"
2196;"Klaudios";"Male";"Roman";"Personal name";13949;13947;"17";"IK Sestos";90017;"";"Laodikeos";"City";"Greek"
565;"Epigenes";"Male";"Greek";"Personal name";13952;13950;"18";"IK Sestos";90018;"";"Herakleotes in Pontos";"City";"Greek"
